pixel,reflectance1,absorption1,reflectance2,absorption2,side
64,9.91E-06,0.512089526,1.04E-05,0.315292758,1
65,9.46E-06,0.586775128,1.05E-05,0.409085499,1
66,9.18E-06,0.565665014,1.10E-05,0.339348657,1
67,8.67E-06,0.692986561,1.14E-05,0.304448884,1
68,8.49E-06,0.632771879,1.20E-05,0.199117932,1
69,8.02E-06,0.753560189,1.22E-05,0.334555043,1
70,7.80E-06,0.732750228,1.28E-05,0.238846861,1
71,7.56E-06,0.718405627,1.31E-05,0.289704634,1
72,7.30E-06,0.732495538,1.36E-05,0.269518203,1
73,6.93E-06,0.827601396,1.40E-05,0.286022421,1
74,6.75E-06,0.797266297,1.47E-05,0.205116879,1
75,6.41E-06,0.891384038,1.50E-05,0.270135809,1
76,6.27E-06,0.83992117,1.56E-05,0.244437027,1
77,6.06E-06,0.850874264,1.64E-05,0.158684257,1
78,5.80E-06,0.906009811,1.70E-05,0.154388814,1
79,5.66E-06,0.869896853,1.75E-05,0.18234804,1
80,5.36E-06,0.974426872,1.80E-05,0.203794899,1
81,5.35E-06,0.834486868,1.88E-05,0.143584876,1
82,5.00E-06,1,1.94E-05,0.193022088,1
83,4.92E-06,0.928075998,2.01E-05,0.185703588,1
84,4.75E-06,0.940279092,2.10E-05,0.105780297,1
85,4.65E-06,0.897223491,2.18E-05,0.112757546,1
86,4.46E-06,0.941340677,2.24E-05,0.155710391,1
87,4.32E-06,0.941450754,2.31E-05,0.190619358,1
88,4.31E-06,0.810469639,2.42E-05,0.104251178,1
89,4.05E-06,0.94941728,2.52E-05,0.069131604,1
90,4.02E-06,0.841073194,2.62E-05,0.053301535,1
91,3.83E-06,0.91342481,2.71E-05,0.066544394,1
92,3.75E-06,0.874632783,2.81E-05,0.060275377,1
93,3.70E-06,0.795217877,2.94E-05,0,1
94,3.47E-06,0.938303246,3.03E-05,0.062326026,1
95,3.44E-06,0.844861592,3.11E-05,0.062326026,1
96,3.35E-06,0.829081391,3.24E-05,0.062326026,1
97,3.24E-06,0.840115597,3.35E-05,0.062326026,1
98,3.23E-06,0.718283646,3.48E-05,0.062326026,1
99,3.09E-06,0.776097005,3.63E-05,0.062326026,1
100,2.98E-06,0.802462132,3.73E-05,0.062326026,1
101,2.97E-06,0.692120761,3.87E-05,0.062326026,1
102,2.86E-06,0.720669944,4.01E-05,0.062326026,1
103,2.78E-06,0.715948494,4.15E-05,0.062326026,1
104,2.74E-06,0.654451325,4.32E-05,0.062326026,1
105,2.67E-06,0.634758946,4.49E-05,0.062326026,1
106,2.59E-06,0.634570354,4.65E-05,0.062326026,1
107,2.56E-06,0.571631877,4.81E-05,0.062326026,1
108,2.58E-06,0.419768952,5.03E-05,0.062326026,1
109,2.43E-06,0.541981113,5.18E-05,0.062326026,1
110,2.35E-06,0.561336297,5.38E-05,0.062326026,1
111,2.29E-06,0.549196699,5.58E-05,0.062326026,1
112,2.35E-06,0.327481833,5.81E-05,0.062326026,1
113,2.22E-06,0.441239881,6.03E-05,0.062326026,1
114,2.12E-06,0.496976553,6.25E-05,0.062326026,1
115,2.10E-06,0.432530167,6.47E-05,0.062326026,1
116,2.13E-06,0.254860997,6.72E-05,0.062326026,1
117,2.02E-06,0.35084479,6.98E-05,0.062326026,1
118,2.00E-06,0.278038976,7.22E-05,0.062326026,1
119,1.92E-06,0.321267798,7.49E-05,0.062326026,1
120,1.91E-06,0.234505393,7.78E-05,0.062326026,1
121,1.88E-06,0.197254605,8.08E-05,0.062326026,1
122,1.86E-06,0.140855002,8.38E-05,0.062326026,1
123,1.81E-06,0.131989091,8.72E-05,0.062326026,1
124,1.73E-06,0.184658978,9.06E-05,0.062326026,1
125,1.75E-06,0.03805033,9.35E-05,0.062326026,1
126,1.69E-06,0.080807696,9.68E-05,0.062326026,1
127,1.67E-06,0.021548522,0.000100745,0.062326026,1
128,1.55E-06,0.191700424,0.00010364,0.062326026,1
